index,Hip,ra_hours,dec_degrees,flamsteed,bayer,const,name,magnitude,epoch_year
1956,77512,15.82658278,26.06854936,10,δ,CrB,,4.59,2000.25
1957,77516,15.82701825,-3.43014112,32,μ,Ser,,3.54,2000.25
1958,77578,15.83820259,2.19662489,34,ω,Ser,,5.21,2000.25
1959,77622,15.84691422,4.4775798,37,ε,Ser,,3.71,2000.25
1960,77634,15.84931715,-33.62710488,5,χ,Lup,,3.97,2000.25
1961,77635,15.84965378,-25.75123489,1,,Sco,,4.63,2000.25
1962,77655,15.85387148,35.65822638,11,κ,CrB,,4.79,2000.25
1963,77660,15.8543465,-3.09042957,36,,Ser,,5.09,2000.25
1964,77661,15.85442865,20.97787548,38,ρ,Ser,,4.74,2000.25
1965,77760,15.87783178,42.44998796,1,χ,Her,,4.6,2000.25
1966,77801,15.88671875,13.19799059,39,,Ser,,6.07,2000.25
1967,77811,15.88890578,-20.16699405,45,λ,Lib,,5.04,2000.25
1968,77840,15.89353566,-25.32708018,2,,Sco,,4.59,2000.25
1969,77853,15.89707695,-16.7296223,46,θ,Lib,,4.13,2000.25
1970,77907,15.91052142,43.13840642,2,,Her,,5.35,2000.25
1971,77909,15.91098278,-25.24367939,3,,Sco,,5.87,2000.25
1972,77910,15.91118718,8.58033887,40,,Ser,,6.28,2000.25
1973,77939,15.91676957,-19.38288098,47,,Lib,,5.95,2000.25
1974,77952,15.91911334,-63.42974973,,β,TrA,,2.83,2000.25
1975,77982,15.9248926,-68.60298616,,κ,TrA,,5.11,2000.25
1976,77984,15.9250285,-26.26592073,4,,Sco,,5.63,2000.25
1977,77986,15.92516957,42.56615229,4,,Her,,5.73,2000.25
1978,78012,15.92987919,37.94676324,12,λ,CrB,,5.43,2000.25
1979,78072,15.94083173,15.66473327,41,γ,Ser,,3.85,2000.25
1980,78104,15.94807962,-29.21401221,5,ρ,Sco,,3.87,2000.25
1981,78105,15.9481893,-33.96602225,,ξ¹,Lup,,5.14,2000.25
1982,78106,15.94836256,-33.96415999,,ξ²,Lup,,5.59,2000.25
1983,78132,15.95406796,14.41426805,,φ,Ser,,5.54,2000.25
1984,78159,15.95980608,26.87802632,13,ε,CrB,,4.14,2000.25
1985,78207,15.96982674,-14.27931773,48,,Lib,,4.95,2000.25
1986,78265,15.98086685,-26.1140428,6,π,Sco,,2.89,2000.25
1987,78384,16.00203902,-38.39664079,,ς,Lup,,3.42,2000.25
1988,78400,16.00554968,-16.53238334,49,,Lib,,5.47,2000.25
1989,78401,16.00555881,-22.62162024,7,δ,Sco,,2.29,2000.25
1990,78436,16.01323375,-8.41132413,50,,Lib,,5.53,2000.25
1991,78459,16.01744416,33.30538815,15,ρ,CrB,,5.39,2000.25
1992,78481,16.02065165,17.81802578,5,,Her,,5.1,2000.25
1993,78493,16.02405295,29.85107821,14,ι,CrB,,4.98,2000.25
1994,78527,16.03158437,58.56443739,13,θ,Dra,,4.01,2000.25
1995,78554,16.03824696,22.80439543,44,π,Ser,,4.82,2000.25
1996,78592,16.0466253,46.03685378,6,υ,Her,,4.72,2000.25
1997,78639,16.05357227,-49.22972074,,ς,Nor,,4.65,2000.25
1998,78662,16.05895029,-57.77487351,,ι¹,Nor,,4.63,2000.25
1999,78685,16.06269812,4.98679189,43,,Ser,,6.07,2000.25
2000,78820,16.0906208,-19.80539286,8,β¹,Sco,,2.56,2000.25
2001,78821,16.09071534,-19.80184191,8,β²,Sco,,4.9,2000.25
2002,78914,16.10817322,-45.17327517,,δ,Nor,,4.73,2000.25
2003,78918,16.10987675,-36.80221297,,θ,Lup,,4.22,2000.25
2004,78933,16.11345346,-20.66913479,9,ω¹,Sco,,3.93,2000.25
